cohort_month,cohort_index,channel,active_customers,total_revenue
2024-01-01,0,Google Ads,37,2070.66
2024-01-01,0,Meta,28,1697.3900000000003
2024-01-01,0,Organic,61,3172.8700000000003
2024-01-01,0,Referral,16,912.6299999999998
2024-01-01,1,Google Ads,12,913.19
2024-01-01,1,Meta,3,181.72
2024-01-01,1,Organic,12,579.09
2024-01-01,1,Referral,7,475.86
2024-01-01,2,Google Ads,8,532.91
2024-01-01,2,Meta,5,335.94000000000005
2024-01-01,2,Organic,13,722.4800000000001
2024-01-01,2,Referral,2,111.52
2024-01-01,3,Google Ads,8,383.65999999999997
2024-01-01,3,Meta,2,89.5
2024-01-01,3,Organic,5,145.63
2024-01-01,3,Referral,1,14.85
2024-01-01,4,Google Ads,8,400.59
2024-01-01,4,Meta,3,246.10999999999999
2024-01-01,4,Organic,3,71.33
2024-01-01,4,Referral,2,69.64
2024-01-01,5,Google Ads,3,287.14
2024-01-01,5,Meta,1,55.41
2024-01-01,5,Organic,2,79.28
2024-01-01,5,Referral,1,106.54
2024-01-01,6,Organic,3,241.23999999999998
2024-01-01,6,Referral,1,109.12
2024-01-01,7,Google Ads,1,41.480000000000004
2024-01-01,7,Referral,1,29.48
2024-01-01,9,Google Ads,3,120.84
2024-01-01,12,Google Ads,1,120.93
2024-01-01,16,Google Ads,1,12.42
2024-02-01,0,Google Ads,44,2021.9400000000005
2024-02-01,0,Meta,20,1393.3
2024-02-01,0,Organic,44,2488.9900000000007
2024-02-01,0,Referral,13,787.11
2024-02-01,1,Google Ads,11,458.81000000000006
2024-02-01,1,Meta,4,159.35000000000002
2024-02-01,1,Organic,6,265.15
2024-02-01,1,Referral,3,77.79
2024-02-01,2,Google Ads,9,351.21000000000004
2024-02-01,2,Meta,1,25.66
2024-02-01,2,Organic,4,188.64999999999998
2024-02-01,2,Referral,1,12.1
2024-02-01,3,Google Ads,10,393.2300000000001
2024-02-01,3,Meta,2,214.44
2024-02-01,3,Organic,3,192.32
2024-02-01,3,Referral,3,91.82000000000001
2024-02-01,4,Google Ads,4,254.67000000000002
2024-02-01,4,Organic,3,82.03999999999999
2024-02-01,4,Referral,2,58.06999999999999
2024-02-01,5,Google Ads,3,89.3
2024-02-01,5,Meta,2,244.48000000000002
2024-02-01,5,Organic,4,147.11999999999998
2024-02-01,6,Google Ads,4,182.29000000000002
2024-02-01,6,Organic,2,35.3
2024-02-01,6,Referral,1,30.07
2024-02-01,7,Google Ads,1,68.42
2024-02-01,7,Organic,1,19.84
2024-02-01,8,Google Ads,1,9.34
2024-02-01,8,Organic,1,38.0
2024-03-01,0,Google Ads,33,1767.0
2024-03-01,0,Meta,21,1345.65
2024-03-01,0,Organic,43,2402.56
2024-03-01,0,Referral,17,796.6999999999999
2024-03-01,1,Google Ads,10,411.48999999999995
2024-03-01,1,Meta,3,182.82
2024-03-01,1,Organic,4,230.82999999999998
2024-03-01,1,Referral,4,404.12000000000006
2024-03-01,2,Google Ads,9,640.56
2024-03-01,2,Meta,1,76.84
2024-03-01,2,Organic,5,191.47000000000003
2024-03-01,2,Referral,2,105.53999999999999
2024-03-01,3,Google Ads,8,753.9099999999999
2024-03-01,3,Meta,2,34.239999999999995
2024-03-01,3,Organic,6,346.05
2024-03-01,3,Referral,4,96.47
2024-03-01,4,Google Ads,4,138.42
2024-03-01,4,Meta,2,104.95000000000002
2024-03-01,4,Organic,2,108.2
2024-03-01,4,Referral,1,48.88
2024-03-01,5,Google Ads,1,11.01
2024-03-01,5,Meta,1,30.71
2024-03-01,5,Organic,1,236.88
2024-03-01,6,Organic,1,20.17
2024-03-01,6,Referral,1,39.73
2024-03-01,7,Google Ads,2,43.7
2024-03-01,7,Meta,1,10.73
2024-03-01,7,Organic,2,142.62
2024-03-01,8,Organic,1,75.66
2024-03-01,9,Google Ads,1,13.8
2024-03-01,9,Organic,2,130.52
2024-03-01,11,Organic,1,10.92
2024-04-01,0,Google Ads,50,2774.320000000001
2024-04-01,0,Meta,25,1132.61
2024-04-01,0,Organic,53,2797.22
2024-04-01,0,Referral,11,574.79
2024-04-01,1,Google Ads,16,843.59
2024-04-01,1,Meta,7,377.91
2024-04-01,1,Organic,14,1053.88
2024-04-01,1,Referral,5,174.26999999999998
2024-04-01,2,Google Ads,7,367.31
2024-04-01,2,Meta,8,269.25
2024-04-01,2,Organic,8,263.39
2024-04-01,2,Referral,2,284.08000000000004
2024-04-01,3,Google Ads,2,102.35
2024-04-01,3,Meta,3,59.43
2024-04-01,3,Organic,5,396.53999999999996
2024-04-01,3,Referral,3,489.82000000000005
2024-04-01,4,Google Ads,4,570.98
2024-04-01,4,Meta,2,285.97
2024-04-01,4,Organic,5,173.07
2024-04-01,4,Referral,1,28.82
2024-04-01,5,Google Ads,3,134.76
2024-04-01,5,Organic,4,344.7
2024-04-01,6,Google Ads,4,239.97000000000003
2024-04-01,6,Meta,3,200.79999999999998
